Category,Part #,Description,"Vendor 
Item #",Vendor,Location,UOM,Quantity,Notes
Market Hog Cuts Chad,MHC-0006,MARKET PORK TRIM LEAN,FROZEN,,,KG,,
Market Hog Cuts Chad,MHC-0007,MARKET PORK JOWLS,FROZEN,,,KG,,
Market Hog Cuts Chad,MHC-0008,MARKET PORK RIBLETS,FROZEN,,,KG,,
Market Hog Cuts Chad,MHC-0009,MARKET PORK BUTT BONELESS,FROZEN,,,KG,,
Market Hog Cuts Chad,MHC-0010,MARKET PORK SIDE RIBS,FROZEN,,,KG,,
Market Hog Cuts Chad,MHC-0011,MARKET SHOULDER,FROZEN,,,KG,,
Market Hog Cuts Chad,MHC-0012,MARKET LEGS BONE IN,FROZEN,,,KG,,
Market Hog Cuts Chad,MHC-0013,MARKET BACK RIBS,FROZEN,,,KG,,
Market Hog Cuts Chad,MHC-0014,MARKET KNUCKLE,FROZEN,,,KG,,
Market Hog Cuts Chad,MHC-0015,MARKET PORK NECK BONES,FROZEN,,,KG,,
Market Hog Cuts Chad,MHC-0016,BERKSHIRE 80% TRIM,,,,KG,,
Market Hog Cuts Chad,MHC-0017,BERKSHIRE # 1 DENUDED ,,,,KG,,
Market Hog Cuts Chad,MHC-0018,TENDERLOIN,,,,KG,,
Finished Goods,FGD-0005,BERKSHIRE SIDE RIBS,217,,,CS,,
Finished Goods,FGD-0007,BERKSHIRE CAPICOLA,221,,,CS,,
Finished Goods,FGD-0012,BERKSHIRE TRIM 80%,237,,,CS,,
Finished Goods,FGD-0036,BERKSHIRE SIDE RIBS,1313,,,CS,,
Finished Goods,FGD-0037,BERKSHIRE CAPICOLA,1315,,,CS,,
Finished Goods,FGD-0058,HOT & SPICY SMOKIES,2054,,,CS,,
Finished Goods,FGD-0063,DIAMOND DOG ,2063,,,CS,,
Finished Goods,FGD-0066,DIAMOND DOG LIL LEAGUE,2067,,,CS,,
Finished Goods,FGD-0078,BACK BACON ROLL,3021,,,CS,,
Finished Goods,FGD-0096,KING SIZE BACON ENDS,3063,,,CS,,
Finished Goods,FGD-0142,BERKSHIRE CAPICOLA,,,,0,,
Short Code Cooler,SCC-0030,HOT & SPICY SMOKIES,2054,,,CS,,
Short Code Cooler,SCC-0035,DIAMOND DOG ,2063,,,CS,,
Short Code Cooler,SCC-0037,DIAMOND DOG JR,2065,,,KG,,
Short Code Cooler,SCC-0039,DIAMOND DOG LIL LEAGUE,2067,,,CS,,
Short Code Cooler,SCC-0061,KING SIZE BACON ENDS,3063,,,CS,,
Short Code Freezer,SCF-0002,Mild Italian,1050,,,KG,,
Short Code Freezer,SCF-0003,CHG,2014,,,KG,,
Short Code Freezer,SCF-0004,LIVER SAUSAGE,2020,,,KG,,
Dry Storage,DRS-0001,Balaclavas Blue,RON1895B,Macmor,,CS,,
Dry Storage,DRS-0002,Balaclavas White ,RON1890W,Macmor,,CS,,
Dry Storage,DRS-0003,Disposable Gloves Black L,,Imperial,,BOX,,
Dry Storage,DRS-0004,Disposable Gloves Black M ,,Imperial,,BOX,,
Dry Storage,DRS-0005,Disposable Gloves Black S,,Imperial,,BOX,,
Dry Storage,DRS-0006,Disposable Gloves Black XL ,,Imperial,,BOX,,
Dry Storage,DRS-0007,Disposable Gloves Black XXL,,Imperial,,BOX,,
Dry Storage,DRS-0008,Disposable Gloves Blue L,,Imperial,,BOX,,
Dry Storage,DRS-0009,Disposable Gloves Blue M ,,Imperial,,BOX,,
Dry Storage,DRS-0010,Disposable Gloves Blue S,,Imperial,,BOX,,
Dry Storage,DRS-0011,Disposable Gloves Blue XL ,,Imperial,,BOX,,
Dry Storage,DRS-0012,Disposable Gloves Blue XXL,,Imperial,,BOX,,
Dry Storage,DRS-0013,Facemasks,,Imperial,,CS,,
Dry Storage,DRS-0014,Garbage bags 30x38,,Imperial,,CS,,
Dry Storage,DRS-0015,Garbage bags 35x50 ,,Imperial,,CS,,
Dry Storage,DRS-0016,Paper Towel - Hard Roll White RB8002 7.88IN x 800FT 6/CS,400000381,Lowry,,CS,,
Dry Storage,DRS-0017,Plastic Aprons Blue ,RON31-526,Macmor,,CS,,
Dry Storage,DRS-0018,Plastic Aprons White,31-126,Macmor,,CS,,
Dry Storage,DRS-0019,Plastic Sleeves Blue,RON33-513,Macmor,,CS,,
Dry Storage,DRS-0020,Plastic Sleeves White ,RON155W,Macmor,,CS,,
Dry Storage,DRS-0023,Toilet Paper - 2-Ply White TM6130S 3.96IN x 3.75IN 500 SHEETS/RL 48/CS,200001127,Imperial/Lowry,,CS,,
Dry Storage,DRS-0021,Soaker Pads,H4730158,BUNZL,,BNDL,,
Dry Storage,DRS-0022,"Hush - 13 Series Single Use Earplugs, NRR 32",50-13C,Macmor,,CS,,
Dry Storage,DRS-0024,Bekina - Rubber Boots size 5,ALLX290GB/5,Macmor,,EA,,
Dry Storage,DRS-0025,Bekina - Rubber Boots size 6 ,ALLX290GB/6,Macmor,,EA,,
Dry Storage,DRS-0026,Bekina - Rubber Boots size 7,ALLX290GB/7,Macmor,,EA,,
Dry Storage,DRS-0027,Bekina - Rubber Boots Size 8,ALLX290GB/8,Macmor,,EA,,
Dry Storage,DRS-0028,Bekina - Rubber Boots Size 9,ALLX290GB/9,Macmor,,EA,,
Dry Storage,DRS-0029,Bekina - Rubber Boots Size 10,ALLX290GB/10,Macmor,,EA,,
Dry Storage,DRS-0030,Bekina - Rubber Boots Size 11,ALLX290GB/11,Macmor,,EA,,
Dry Storage,DRS-0031,Bekina - Rubber Boots Size 12,ALLX290GB/12,Macmor,,EA,,
Dry Storage,DRS-0032,Bekina - Rubber Boots Size 13,ALLX290GB/13,Macmor,,EA,,
Dry Storage,DRS-0033,Bekina - Rubber Boots Size 14,ALLX290GB/14,Macmor,,EA,,
Dry Storage,DRS-0034,Ear Muff Helmet,,Macmor,,EA,,
Dry Storage,DRS-0035,Ear Muff Neck,MMMH7B,Macmor,,EA,,
Dry Storage,DRS-0036,Meat Hooks,,Macmor,,EA,,
Dry Storage,DRS-0037,Smooth Steels,,,,EA,,
Dry Storage,DRS-0038,Rough Steels,,,,EA,,
Dry Storage,DRS-0039,Hard Hat - Green,DSIHP241R/04,Macmor,,EA,,
Dry Storage,DRS-0040,Hard Hat - Blue,,Macmor,,EA,,
Dry Storage,DRS-0041,Hard Hat - White,DSIHP241R/01,Macmor,,EA,,
Dry Storage,DRS-0042,"Jacket, Viking Journeyman Industrial Oil Resistant - Yellow (S)",ALL5110J/S,Macmor,,EA,,
Dry Storage,DRS-0043,"Jacket, Viking Journeyman Industrial Oil Resistant - Yellow (M)",ALL5110J/M,Macmor,,EA,,
Dry Storage,DRS-0044,"Jacket, Viking Journeyman Industrial Oil Resistant - Yellow (L)",ALL5110J/L,Macmor,,EA,,
Dry Storage,DRS-0045,"Jacket, Viking Journeyman Industrial Oil Resistant - Yellow (XL)",ALL5110J/XL,Macmor,,EA,,
Dry Storage,DRS-0046,"Jacket, Viking Journeyman Industrial Oil Resistant - Yellow (XXXL)",ALL5110J/XXXL,Macmor,,EA,,
Dry Storage,DRS-0047,"Bib Pant, Viking Journeyman Industrial Oil Resistant Reversible - Yellow (S)",ALL5110P/S,Macmor,,EA,,
Dry Storage,DRS-0048,"Bib Pant, Viking Journeyman Industrial Oil Resistant Reversible - Yellow (M)",ALL5110P/M,Macmor,,EA,,
Dry Storage,DRS-0049,"Bib Pant, Viking Journeyman Industrial Oil Resistant Reversible - Yellow (L)",ALL5110P/L,Macmor,,EA,,
Dry Storage,DRS-0050,"Bib Pant, Viking Journeyman Industrial Oil Resistant Reversible - Yellow (XL)",ALL5110P/XL,Macmor,,EA,,
Dry Storage,DRS-0051,"Bib Pant, Viking Journeyman Industrial Oil Resistant Reversible - Yellow (XXXL)",ALL5110P/XXXL,Macmor,,EA,,
Dry Storage,DRS-0052,Ansell Yu-48 (56-600) 35 INX48 IN Yellow Urethane Apron,ANSYU-48,Macmor,,PKG,,
Dry Storage,DRS-0053,White Plastic Chain (130 Ft/Pail),BEN54000,Macmor,,PAIL,,
Dry Storage,DRS-0054,Sticking Knife,82357210,Jarvis,,EA,,
Dry Storage,DRS-0055,Boning Knife,1051315,MMIS,,EA,,
Dry Storage,DRS-0056,Mesh Gloves - 8cm Band,,Jarvis,,EA,,
Dry Storage,DRS-0057,Plastic Arm Guards,,,,EA,,
Dry Storage,DRS-0058,3-knife Scabbard - Blue,,Jarvis,,EA,,
Dry Storage,DRS-0059,Hard Hat - Neon Green,,Macmor,,EA,,
Dry Storage,DRS-0060,Hard Hat - Orange,,Macmor,,EA,,
Dry Storage,DRS-0061,Fixi Clamp,,Uline,,EA,,
Dry Storage,DRS-0062,"Saw Blades - 108""",,Kasco,,EA,,
Dry Storage,DRS-0063,Saw Blades - 24,,,,EA,,
Dry Storage,DRS-0064,Uline Squeeze Bottles,,Uline,,EA,,
Dry Storage,DRS-0065,Brush Short Handle - Blue,,Uline,,EA,,
Dry Storage,DRS-0066,Brush Long Handle - Blue,,Uline,,EA,,
Dry Storage,DRS-0067,Brush Short Handle - Yellow,,Uline,,EA,,
Dry Storage,DRS-0068,Brush Long Handle - Yellow,,Uline,,EA,,
Chemical Room,CHR-0001,"Avalanche, 205L",0910011 45,Sanimarc,,EA,,
Chemical Room,CHR-0002,"Power Quat, 205L",0910073 45,Sanimarc,,EA,,
Chemical Room,CHR-0003,"Blizzard, 205L",0510005 45,Sanimarc,,EA,,
Chemical Room,CHR-0004,"Maximum, 205L",8910080 45,Sanimarc,,EA,,
Chemical Room,CHR-0005,"Chloragel, 1000L",0510015 55,Sanimarc,,EA,,
Chemical Room,CHR-0006,"Sanilube, 205L",2010375 45,Sanimarc,,EA,,
Chemical Room,CHR-0007,"Carbo Blast, 214KG (205L Drum)",0910137 45,Sanimarc,,EA,,
Chemical Room,CHR-0008,"Phosfoam, 20L",8910025 20,Sanimarc,,EA,,
Chemical Room,CHR-0009,"Power Foam, 205L",0510345 45,Sanimarc,,EA,,
Chemical Room,CHR-0010,"Chloreco, 20L",8910015 20,Sanimarc,,EA,,
Chemical Room,CHR-0011,"Hurricane, 20L",0510080 20,Sanimarc,,EA,,
Chemical Room,CHR-0012,"Alco H+S, 4L",0910006 04,Sanimarc,,EA,,
Chemical Room,CHR-0013,"Soil Off, 4L",,Ecolab,,EA,,
Chemical Room,CHR-0014,"Sani Ring, 200G, 12/Case",0910120 02,Sanimarc,,CS,,
Chemical Room,CHR-0015,"Alco Spray, 1L, 12/Case",0910005 11,Sanimarc,,CS,,
Chemical Room,CHR-0016,"D-4055, 4L",0910030 04,Sanimarc,,EA,,
Chemical Room,CHR-0017,"Iodor, 4L",0910075 04,Sanimarc,,EA,,
Chemical Room,CHR-0018,"Activ, 4L",1310001 04,Sanimarc,,CS,,
Chemical Room,CHR-0019,"Alco Wipes, 850ML, 150 Wipes",0910013 85,Sanimarc,,CS,,
Chemical Room,CHR-0020,"Time Mist, 187G, 12/Case",9033-2960T6CA,Sanimarc,,CS,,
Chemical Room,CHR-0021,"Purell Cartridges, 1200ML, 2/Case",905051-02,Sanimarc,,CS,,
Chemical Room,CHR-0022,"Solvent, 950ML, 6/Pack",,Sanimarc,,EA,,
Chemical Room,CHR-0023,"TFF Gel, 4L",0510100 04,Sanimarc,,EA,,
Chemical Room,CHR-0024,85A - Brown Scrubbies,,Imperial Soap,,CS,,
Chemical Room,CHR-0025,86B - Green Scrubbies ,,Imperial Soap,,CS,,
Chemical Room,CHR-0026,"Bio Detect, 946ML",,,,EA,,
Chemical Room,CHR-0027,"Chinook, 205L",,,,EA,,
Chemical Room,CHR-0028,"Chinook Concentrated, 20L",,,,EA,,
Chemical Room,CHR-0029,"Lactic Acid, 20L",,,,EA,,
Chemical Room,CHR-0030,"Lactic Acid, 205L",,,,EA,,
Chemical Room,CHR-0031,"Lactic Acid, 1000L",,,,EA,,
Chemical Room,CHR-0032,"Nalco 8131 Plus (Ferralyte), 1470KG",,,,EA,,
Chemical Room,CHR-0033,Nalco CGR602,,,,EA,,
Chemical Room,CHR-0034,"Purity FG WO White Mineral Oil 15, 20L",,,,EA,,
Chemical Room,CHR-0035,"Remco 5524 - Blue Scrubbies, 10/CASE",,,,CS,,
Chemical Room,CHR-0036,"Time Mist, Dispenser, 1/BOX",,,,EA,,
Chemical Room,CHR-0037,"Vert2Go Beam, 1L",,,,EA,,
Chemical Room,CHR-0038,"White Mineral Oil, Squeeze Bottle",,,,EA,,
Chemical Room,CHR-0039,"90-209D, Stainless Steel Degreaser, Aersol, 411G",,,,EA,,
Chemical Room,CHR-0040,"X-Pure, Liquid Hand Sanitizer, 4L",,,,EA,,
